kota_kabupaten;kecamatan;jumlah_penduduk;kepadatan_penduduk;jumlah_anak(0-17th);jumlah_usia_produktif(15-64th);jumlah_penduduk_pria;jumlah_penduduk_perempuan;jenis_fasilitas_olahraga;jumlah
Jakarta Selatan;Setiabudi;117.914;13.119;31.106;84.661;59.021;58.830;golf;0
Jakarta Selatan;Setiabudi;117.914;13.119;31.106;84.661;59.021;58.830;senam;15
Jakarta Selatan;Setiabudi;117.914;13.119;31.106;84.661;59.021;58.830;gedung olahraga;1
Jakarta Selatan;Setiabudi;117.914;13.119;31.106;84.661;59.021;58.830;stadion;1
Jakarta Selatan;Setiabudi;117.914;13.119;31.106;84.661;59.021;58.830;gelanggang kecamatan;0
Jakarta Selatan;Setiabudi;117.914;13.119;31.106;84.661;59.021;58.830;gelanggang kotamadya;1
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;tenis;2
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;sepak bola;1
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;kolam renang;1
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;bola voli;10
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;bulu tangkis;13
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;basket;5
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;atletik;1
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;tenis meja;8
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;golf;0
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;senam;6
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;gedung olahraga;1
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;stadion;1
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;gelanggang kecamatan;2
Jakarta Selatan;Tebet;242.255;25.340;65.698;172.409;120.584;121.675;gelanggang kotamadya;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;tenis;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;sepak bola;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;kolam renang;1
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;bola voli;1
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;bulu tangkis;2
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;basket;1
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;atletik;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;tenis meja;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;golf;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;senam;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;gedung olahraga;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;stadion;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;gelanggang kecamatan;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;gelanggang kotamadya;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;tenis;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;sepak bola;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;kolam renang;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;bola voli;1
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;bulu tangkis;2
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;basket;1
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;atletik;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;tenis meja;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;golf;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;senam;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;gedung olahraga;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;stadion;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;gelanggang kecamatan;0
Jakarta Timur;Jatinegara;329.713;31.534;93.723;231.945;165.244;163.048;gelanggang kotamadya;0
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;tenis;1
Jakarta Timur;Duren Sawit;454.735;20.578;131.548;317.440;222.830;223.943;sepak bola;1
